vendor_sku,upc,category,name,price,weight,Volume ,VolumeUnit ,Height ,Length ,Width ,ingredients ,NutritionFacts ,Serving ,Kosher ,Halal ,Organic ,Vegeratian ,FatFree ,SugarFree ,NoMSG ,LowCarb ,HeatSensitive ,AllNatural ,NoPreservatives ,FairTrade
31100,689951311009,Hand Crafted Green Teas ,Jade Flower - Can ,$9.00,0.4063,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31060,689951310606,Hand Crafted Green Teas ,Jasmine Pearls - Can ,$10.50,0.5,,,,,,"Green Tea Leaves, Jasmine Flower Petals. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31050,689951310507,Japanese Green Teas ,"Brown Rice Tea ""Genmaicha"" - Can ",$6.90,0.4688,,,,,,"Green Tea Leaves, Toasted Brown Rice. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31185,689951311856,Japanese Green Teas ,Green Kukicha - Can ,$6.00,0.4375,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80236,689951802361,Japanese Green Teas ,Precious Dew Pearl - lb. ,$45.00,0,,,,,,Green Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31030,689951310309,Japanese Green Teas ,Kukicha - Can ,$6.00,0.4375,,,,,,Organic Roasted Tea Branches & Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31085,689951310859,Japanese Green Teas ,Roasted Tea - Can ,$4.50,0.4063,,,,,,100% Organic Roasted Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31000,689951310002,Japanese Powdered Green Teas ,Liquid Jade - Can ,$12.00,0.4375,,,,,,100% Organic Powdered Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31075,689951310750,Japanese Sencha Green Teas ,Sencha - Can ,$6.75,0.5,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
15000,689951150004,Rainforest Grown Teas ,Rainforest Light Green - Can ,$5.99,0.4375,,,,,,Rainforest Alliance Certified Green Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
